Month,Hist_prcp,Hist_taAvg,C8_prcp,C8_taAvg,N8_prcp,N8_taAvg,US8_prcp,US8_taAvg
1,286.734375,3.049143145,339.8863973,-0.947462366,379.3559997,-2.39022043,389.1485857,-3.273580645
2,197.19375,3.770691579,247.991566,-0.449187603,308.194116,-1.892186166,280.4112287,-1.851723112
3,167.928125,4.573790323,233.9490187,1.541209677,246.5742163,0.008295699,197.1041747,0.957172043
4,100.784375,5.21953125,142.1420427,3.66285,128.3760447,3.307533333,129.2897487,4.133177778
5,62.928125,5.827469758,94.06840933,7.919693548,67.71115867,8.027344086,70.66318667,7.835370968
6,45.140625,6.22703125,53.729078,13.30102222,47.40370467,12.54511111,49.80445433,10.34972222
7,16.50625,6.970967742,22.231333,17.25734409,11.95226733,18.0548172,18.365269,16.14162366
8,23.609375,6.571068548,23.69649167,17.47403763,13.52292467,17.77695161,18.13016967,16.45085484
9,52.925,5.590572917,71.93849467,13.27058333,74.89290833,13.03770556,60.95037367,11.75208333
10,178.003125,3.860209803,166.9483003,6.967268817,181.8471097,6.079553763,165.703866,5.605026882
11,277.7548387,2.896236559,319.7859497,1.403722222,314.048197,-0.154011111,337.9137937,-1.418566667
12,272.9387097,2.897762747,405.904962,-0.809268817,345.837341,-3.694564516,337.7450793,-4.419354839
