Year,pRange4.5%,pRange8.5%,pRangeHis%,tRange4.5%,tRange8.5%,tRangHis%
1950,,,0.66,,,0.90
1951,,,0.66,,,0.90
1952,,,0.66,,,0.90
1953,,,0.66,,,0.91
1954,,,0.66,,,0.91
1955,,,0.66,,,0.92
1956,,,0.66,,,0.92
1957,,,0.66,,,0.92
1958,,,0.66,,,0.92
1959,,,0.66,,,0.92
1960,,,0.66,,,0.92
1961,,,0.66,,,0.92
1962,,,0.65,,,0.92
1963,,,0.65,,,0.93
1964,,,0.66,,,0.93
1965,,,0.66,,,0.93
1966,,,0.66,,,0.93
1967,,,0.66,,,0.93
1968,,,0.66,,,0.93
1969,,,0.67,,,0.93
1970,,,0.67,,,0.93
1971,,,0.67,,,0.92
1972,,,0.67,,,0.92
1973,,,0.68,,,0.91
1974,,,0.68,,,0.91
1975,,,0.68,,,0.90
1976,,,0.68,,,0.89
1977,,,0.68,,,0.89
1978,,,0.68,,,0.88
1979,,,0.69,,,0.87
1980,,,0.69,,,0.87
1981,,,0.69,,,0.86
1982,,,0.69,,,0.86
1983,,,0.69,,,0.85
1984,,,0.69,,,0.84
1985,,,0.69,,,0.83
1986,,,0.69,,,0.83
1987,,,0.69,,,0.82
1988,,,0.69,,,0.81
1989,,,0.69,,,0.80
1990,,,0.69,,,0.79
1991,,,0.69,,,0.79
1992,,,0.69,,,0.78
1993,,,0.68,,,0.77
1994,,,0.68,,,0.77
1995,,,0.68,,,0.76
1996,,,0.68,,,0.76
1997,,,0.68,,,0.75
1998,,,0.68,,,0.75
1999,,,0.69,,,0.74
2000,,,0.69,,,0.74
2001,,,0.69,,,0.73
2002,,,0.69,,,0.73
2003,,,0.69,,,0.72
2004,,,0.70,,,0.72
2005,,,0.70,,,0.71
2006,0.70,0.70,,0.73,0.71,
2007,0.70,0.70,,0.73,0.70,
2008,0.70,0.70,,0.72,0.70,
2009,0.70,0.71,,0.72,0.69,
2010,0.70,0.71,,0.72,0.69,
2011,0.70,0.71,,0.72,0.68,
2012,0.70,0.71,,0.72,0.68,
2013,0.70,0.71,,0.71,0.67,
2014,0.71,0.71,,0.71,0.67,
2015,0.71,0.71,,0.71,0.66,
2016,0.71,0.71,,0.70,0.66,
2017,0.71,0.71,,0.70,0.65,
2018,0.71,0.71,,0.70,0.65,
2019,0.71,0.71,,0.70,0.65,
2020,0.71,0.71,,0.69,0.64,
2021,0.71,0.71,,0.69,0.64,
2022,0.71,0.70,,0.69,0.64,
2023,0.71,0.70,,0.69,0.63,
2024,0.71,0.69,,0.68,0.63,
2025,0.71,0.69,,0.68,0.63,
2026,0.71,0.69,,0.68,0.62,
2027,0.71,0.69,,0.67,0.62,
2028,0.71,0.68,,0.67,0.62,
2029,0.71,0.68,,0.66,0.62,
2030,0.71,0.68,,0.66,0.62,
2031,0.71,0.68,,0.66,0.62,
2032,0.71,0.67,,0.65,0.62,
2033,0.71,0.67,,0.65,0.62,
2034,0.71,0.67,,0.65,0.62,
2035,0.71,0.67,,0.65,0.61,
2036,0.71,0.67,,0.64,0.61,
2037,0.71,0.67,,0.64,0.61,
2038,0.71,0.67,,0.64,0.61,
2039,0.71,0.67,,0.64,0.61,
2040,0.71,0.66,,0.64,0.61,
2041,0.71,0.66,,0.64,0.61,
2042,0.71,0.66,,0.63,0.61,
2043,0.71,0.66,,0.63,0.61,
2044,0.71,0.66,,0.63,0.61,
2045,0.71,0.67,,0.63,0.61,
2046,0.71,0.67,,0.63,0.61,
2047,0.71,0.67,,0.63,0.61,
2048,0.70,0.67,,0.63,0.61,
2049,0.70,0.67,,0.63,0.61,
2050,0.70,0.67,,0.63,0.61,
2051,0.70,0.68,,0.63,0.61,
2052,0.70,0.68,,0.63,0.61,
2053,0.70,0.68,,0.63,0.61,
2054,0.70,0.69,,0.63,0.61,
2055,0.70,0.69,,0.63,0.61,
2056,0.70,0.69,,0.63,0.61,
2057,0.70,0.70,,0.63,0.61,
2058,0.70,0.70,,0.62,0.60,
2059,0.70,0.71,,0.62,0.60,
2060,0.70,0.71,,0.62,0.60,
2061,0.70,0.71,,0.62,0.60,
2062,0.70,0.71,,0.62,0.60,
2063,0.70,0.72,,0.62,0.59,
2064,0.70,0.72,,0.62,0.59,
2065,0.70,0.72,,0.62,0.59,
2066,0.70,0.73,,0.62,0.59,
2067,0.70,0.73,,0.62,0.58,
2068,0.70,0.73,,0.62,0.58,
2069,0.70,0.73,,0.62,0.58,
2070,0.70,0.73,,0.62,0.57,
2071,0.70,0.73,,0.62,0.57,
2072,0.70,0.73,,0.62,0.57,
2073,0.70,0.73,,0.62,0.57,
2074,0.70,0.73,,0.62,0.56,
2075,0.70,0.73,,0.62,0.56,
2076,0.70,0.73,,0.62,0.56,
2077,0.70,0.73,,0.62,0.55,
2078,0.69,0.73,,0.62,0.55,
2079,0.69,0.73,,0.61,0.55,
2080,0.69,0.73,,0.61,0.55,
2081,0.69,0.73,,0.61,0.55,
2082,0.69,0.73,,0.61,0.55,
2083,0.69,0.73,,0.61,0.55,
2084,0.69,0.73,,0.61,0.55,
2085,0.68,0.73,,0.61,0.55,
2086,0.68,0.74,,0.61,0.55,
2087,0.68,0.74,,0.61,0.54,
2088,0.68,0.74,,0.60,0.54,
2089,0.68,0.73,,0.60,0.54,
2090,0.68,0.73,,0.60,0.54,
2091,0.68,0.73,,0.59,0.54,
2092,0.67,0.73,,0.59,0.54,
2093,0.67,0.73,,0.59,0.54,
2094,0.67,0.73,,0.59,0.54,
2095,0.67,0.73,,0.59,0.54,
2096,0.67,0.73,,0.59,0.54,
2097,0.67,0.72,,0.59,0.54,
2098,0.67,0.72,,0.59,0.54,
2099,0.66,0.72,,0.59,0.54,
